ine_code;municipality;province;ccaa;year;deceased;injured_hospitalized;injured_not_hospitalized
03112;Relleu;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03113;Rojales;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03114;"Romana; la";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03115;Sagra;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03116;Salinas;Alicante/Alacant;Comunitat Valenciana;2023;0;0;3
03117;Sanet y Negrals;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03118;San Fulgencio;Alicante/Alacant;Comunitat Valenciana;2023;0;0;9
03119;Sant Joan d'Alacant;Alicante/Alacant;Comunitat Valenciana;2023;1;2;16
03120;San Miguel de Salinas;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03121;Santa Pola;Alicante/Alacant;Comunitat Valenciana;2023;1;6;98
03122;San Vicente del Raspeig/Sant Vicent del Raspeig;Alicante/Alacant;Comunitat Valenciana;2023;2;9;62
03123;Sax;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03124;Sella;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03125;Senija;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03127;Tàrbena;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03128;Teulada;Alicante/Alacant;Comunitat Valenciana;2023;0;2;8
03129;Tibi;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03130;Tollos;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03131;Tormos;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03132;"Torremanzanas/Torre de les Maçanes; la";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03133;Torrevieja;Alicante/Alacant;Comunitat Valenciana;2023;2;29;229
03134;"Vall d'Alcalà; la";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03135;"Vall d'Ebo; la";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03136;Vall de Gallinera;Alicante/Alacant;Comunitat Valenciana;2023;0;0;1
03137;"Vall de Laguar; la";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03138;"Verger; el";Alicante/Alacant;Comunitat Valenciana;2023;0;0;3
03139;"Villajoyosa/Vila Joiosa; la";Alicante/Alacant;Comunitat Valenciana;2023;2;8;63
03140;Villena;Alicante/Alacant;Comunitat Valenciana;2023;0;4;15
03901;"Poblets; els";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03902;Pilar de la Horadada;Alicante/Alacant;Comunitat Valenciana;2023;0;4;76
03903;"Montesinos; Los";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03904;San Isidro;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
04000;Almeria ( municipio sin especificar);Almería;Andalucía;2023;;;
04001;Abla;Almería;Andalucía;2023;0;0;0
04002;Abrucena;Almería;Andalucía;2023;0;0;0
04003;Adra;Almería;Andalucía;2023;0;3;54
04004;Albánchez;Almería;Andalucía;2023;0;0;0
04005;Alboloduy;Almería;Andalucía;2023;0;0;0
04006;Albox;Almería;Andalucía;2023;0;1;0
04007;Alcolea;Almería;Andalucía;2023;0;0;0
04008;Alcóntar;Almería;Andalucía;2023;0;0;0
04009;Alcudia de Monteagud;Almería;Andalucía;2023;0;0;0
04010;Alhabia;Almería;Andalucía;2023;0;0;0
04011;Alhama de Almería;Almería;Andalucía;2023;0;0;0
04012;Alicún;Almería;Andalucía;2023;0;0;0
04013;Almería;Almería;Andalucía;2023;1;31;402
04014;Almócita;Almería;Andalucía;2023;0;0;0
04015;Alsodux;Almería;Andalucía;2023;;;
04016;Antas;Almería;Andalucía;2023;0;1;3
04017;Arboleas;Almería;Andalucía;2023;0;0;0
04018;Armuña de Almanzora;Almería;Andalucía;2023;0;0;0
04019;Bacares;Almería;Andalucía;2023;0;0;0
04020;Bayárcal;Almería;Andalucía;2023;0;0;0
04021;Bayarque;Almería;Andalucía;2023;0;0;0
04022;Bédar;Almería;Andalucía;2023;0;0;0
04023;Beires;Almería;Andalucía;2023;;;
04024;Benahadux;Almería;Andalucía;2023;0;0;0
04026;Benitagla;Almería;Andalucía;2023;;;
04027;Benizalón;Almería;Andalucía;2023;0;0;0
04028;Bentarique;Almería;Andalucía;2023;0;0;0
04029;Berja;Almería;Andalucía;2023;0;1;10
04030;Canjáyar;Almería;Andalucía;2023;0;0;0
04031;Cantoria;Almería;Andalucía;2023;0;0;0
04032;Carboneras;Almería;Andalucía;2023;0;0;0
04033;Castro de Filabres;Almería;Andalucía;2023;;;
04034;Cóbdar;Almería;Andalucía;2023;0;0;0
04035;Cuevas del Almanzora;Almería;Andalucía;2023;0;2;3
04036;Chercos;Almería;Andalucía;2023;;;
04037;Chirivel;Almería;Andalucía;2023;0;0;0
04038;Dalías;Almería;Andalucía;2023;0;0;1
04041;Enix;Almería;Andalucía;2023;0;0;0
04043;Felix;Almería;Andalucía;2023;0;0;0
04044;Fines;Almería;Andalucía;2023;0;1;0
04045;Fiñana;Almería;Andalucía;2023;0;0;0
04046;Fondón;Almería;Andalucía;2023;0;0;0
04047;Gádor;Almería;Andalucía;2023;0;0;0
04048;"Gallardos; Los";Almería;Andalucía;2023;0;0;0
04049;Garrucha;Almería;Andalucía;2023;0;0;6
04050;Gérgal;Almería;Andalucía;2023;0;0;0
04051;Huécija;Almería;Andalucía;2023;0;0;0
04052;Huércal de Almería;Almería;Andalucía;2023;0;0;13
04053;Huércal-Overa;Almería;Andalucía;2023;0;2;9
04054;Illar;Almería;Andalucía;2023;0;0;0
04055;Instinción;Almería;Andalucía;2023;0;0;0
04056;Laroya;Almería;Andalucía;2023;;;
04057;Láujar de Andarax;Almería;Andalucía;2023;0;0;0
04058;Líjar;Almería;Andalucía;2023;;;
04059;Lubrín;Almería;Andalucía;2023;0;0;1
04060;Lucainena de las Torres;Almería;Andalucía;2023;0;0;0
04061;Lúcar;Almería;Andalucía;2023;0;0;1
04062;Macael;Almería;Andalucía;2023;0;0;0
04063;María;Almería;Andalucía;2023;0;0;0
04064;Mojácar;Almería;Andalucía;2023;0;4;15
04065;Nacimiento;Almería;Andalucía;2023;0;0;0
04066;Níjar;Almería;Andalucía;2023;1;2;12
04067;Ohanes;Almería;Andalucía;2023;0;0;0
04068;Olula de Castro;Almería;Andalucía;2023;0;0;0
04069;Olula del Río;Almería;Andalucía;2023;0;1;3
04070;Oria;Almería;Andalucía;2023;0;0;0
04071;Padules;Almería;Andalucía;2023;0;0;0
