ine_code;province;autonomous_community;year;total_sanctions_with_points;total_points_deducted;speeding_two_points;speeding_three_points;speeding_four_points;speeding_six_points;alcohol_four_points;alcohol_six_points;drugs_six_points;helmet_seatbelt_child_restraint_system_three_points;helmet_seatbelt_child_restraint_system_four_points;helmet_seatbelt_child_restraint_system_six_points;mobile_phone_three_points;mobile_phone_four_points ;mobile_phone_six_points ;traffic_light_three_points;traffic_light_four_points;traffic_light_six_points;other_three_points;other_four_points;other_six_points
02071;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02072;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02073;Albacete;Castilla-La Mancha;2022;14;63;0;0;4;0;20;12;0;3;4;0;0;0;0;0;0;0;0;8;12
02074;Albacete;Castilla-La Mancha;2022;79;372;6;0;8;0;44;24;6;21;28;0;0;0;0;0;0;0;15;28;192
02075;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02076;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02077;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02078;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02079;Albacete;Castilla-La Mancha;2022;16;61;0;0;0;0;0;0;0;9;36;0;6;0;0;0;0;0;0;4;6
02080;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02081;Albacete;Castilla-La Mancha;2022;136;607;0;0;4;0;92;60;12;6;80;0;9;0;0;0;52;0;12;136;144
02082;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02083;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02084;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02085;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02086;Albacete;Castilla-La Mancha;2022;1;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
02901;Albacete;Castilla-La Mancha;2022;7;16;12;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03000;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03001;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03002;Alicante/Alacant;Comunitat Valenciana;2022;2;10;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0
03003;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03004;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03005;Alicante/Alacant;Comunitat Valenciana;2022;74;335;0;0;0;0;20;54;0;9;28;0;0;0;0;0;60;0;24;44;96
03006;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03007;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03008;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03009;Alicante/Alacant;Comunitat Valenciana;2022;119;542;0;0;0;0;44;48;0;33;28;0;0;0;0;0;0;0;51;104;234
03010;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03011;Alicante/Alacant;Comunitat Valenciana;2022;32;126;0;0;0;0;4;0;0;3;8;0;0;0;0;0;8;0;27;52;24
03012;Alicante/Alacant;Comunitat Valenciana;2022;14;63;0;0;0;0;4;6;0;0;0;0;0;0;0;0;4;0;9;16;24
03013;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03014;Alicante/Alacant;Comunitat Valenciana;2022;7.639;22.362;9.410;0;3.828;1.632;1.396;918;0;219;312;0;15;0;1.068;0;792;0;984;540;1.248
03015;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03016;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03017;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03018;Alicante/Alacant;Comunitat Valenciana;2022;91;459;0;0;0;0;44;126;0;3;12;0;0;0;0;0;44;0;24;20;186
03019;Alicante/Alacant;Comunitat Valenciana;2022;21;94;0;0;0;0;28;12;0;0;16;0;0;0;0;0;12;0;0;8;18
03020;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03021;Alicante/Alacant;Comunitat Valenciana;2022;6;28;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;6;0;18
03022;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03023;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03024;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03025;Alicante/Alacant;Comunitat Valenciana;2022;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
03026;Alicante/Alacant;Comunitat Valenciana;2022;6;27;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;3;12;6
03027;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03028;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03029;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03030;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03031;Alicante/Alacant;Comunitat Valenciana;2022;726;3.086;0;0;0;0;100;228;0;48;180;0;0;0;0;0;896;0;504;260;870
03032;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03033;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03034;Alicante/Alacant;Comunitat Valenciana;2022;64;299;0;0;0;0;80;30;0;0;4;0;0;0;0;0;0;0;9;68;108
03035;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03036;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03037;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03038;Alicante/Alacant;Comunitat Valenciana;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
